Emission_ID,Asset_ID,Asset_Name,Year,Scope,Category,Emissions_tCO2e,Calculation_Methodology,Emission_Factor_Source,Data_Quality,Verification_Status,Notes
EMIT_018,ASSET_006,Residential Properties,2023,3,Tenant_Supply_Chain,12000,"Estimated from waste/water: 8M m3 water × 0.003 kg CO2/m3 + 4,000 tons waste × 0.3 kg/kg","Emission factors for water/waste treatment",Low,Estimated,"Scope 3: Water supply and waste treatment. Does NOT include tenant energy use (counted as tenant scope 1/2)."
EMIT_019,ASSET_007,Agricultural Land Holdings,2023,1,Farm_Operations,28000,"Fuel consumption: 150,000 liters diesel machinery × 2.68 kg CO2e/liter + fertilizer application 500 tons × 0.5 kg CO2e/kg (N2O from nitrogen fertilizer)","IPCC agriculture emission factors, fuel records",Medium,Estimated,"Scope 1: Machinery fuel (tractors 80%, irrigation pumps 20%) + fertilizer-induced N2O (high uncertainty +/-20%)."
EMIT_020,ASSET_007,Agricultural Land Holdings,2023,3,Supply_Chain_Fertilizer,45000,"Fertilizer production & processing: 500 tons urea × 90 kg CO2e/kg (Haber-Bosch process) = 45,000 tCO2e. Crop processing (threshing, storage) = ~3,000 tCO2e.","IPCC fertilizer production factors",Low,Estimated,"Scope 3: Upstream fertilizer manufacturing (dominant cost). Haber-Bosch process for ammonia is extremely carbon-intensive. High uncertainty: +/- 30%."
EMIT_021,ASSET_008,Thermal Power Plant,2023,1,Coal_Combustion_Direct,580000,"Coal fuel input: 450,000 tons coal × 1.29 kg CO2e/kg (combustion + oxidation)","IPCC coal combustion factors, fuel receipts",High,Verified,"Scope 1: Direct coal combustion for electricity generation. Plant efficiency 38% (typical for coal). Coal quality: sub-bituminous (2.0 MJ/kg). Scrubber removes SO2/NOx but not CO2."
EMIT_022,ASSET_008,Thermal Power Plant,2023,2,Auxiliary_Electricity,8000,"Plant auxiliary load: 150,000 MWh × 0.53 kg CO2/kWh (German grid). Pumps, fans, controls consume 3-5% of plant electricity.","German grid carbon intensity",High,Verified,"Scope 2: Parasitic plant loads (coal pulverizers, cooling pump drives, controls). Backup purchase from grid."
EMIT_023,ASSET_009,Steel Manufacturing,2023,1,Blast_Furnace_Iron_Production,125000,"Iron ore reduction: 180,000 tons ore × 0.69 kg CO2e/kg iron (from coke combustion + oxidation)","IPCC steelmaking factors, coke inputs",High,Verified,"Scope 1: Blast furnace direct reduction (80% of emissions). Electricity (from coal grid) adds another 50,000 tCO2e if counted here (usually allocated to Scope 2)."
EMIT_024,ASSET_009,Steel Manufacturing,2023,2,Purchased_Electricity,68000,"Electricity for operations: 200,000 MWh × 0.34 kg CO2/kWh (German grid, renewable mix increasing)","German grid 2023 mix",High,Verified,"Scope 2: Smelting furnaces, casting, rolling mills powered by grid (coal+renewables 40% + hydro 30% + nuclear 10% = 0.34 kg/kWh average)."
EMIT_025,ASSET_010,Transportation Infrastructure,2023,1,Maintenance_Vehicle_Fuel,22000,"Fleet maintenance: 8,000 liters diesel fuel × 2.68 kg CO2e/liter + gasoline 1,500 liters × 2.31 kg CO2e/liter","EPA fuel combustion factors",Medium,Verified,"Scope 1: Maintenance vehicle fleet for road repairs, drainage cleaning, bridge inspection. Heavy equipment (excavators, graders) during maintenance windows."
EMIT_026,ASSET_010,Transportation Infrastructure,2023,3,User_Emissions_from_Road_Use,450000,"Downstream user emissions: Not counted by infrastructure owner, but disclosure-relevant. 500M vehicle-km × 0.9 kg CO2e/km average (EU fleet mix).","EU average car emissions 2023",Low,Estimated,"Scope 3 (informational): End-user emissions from vehicles using the road network. Not typically counted as infrastructure owner scope 3 (boundary issue). Included for full transparency."
EMIT_027,ASSET_011,Chemical Production,2023,1,Process_Emissions_Chemical_REACTIONS,35000,"Chemical synthesis: Ammonia production (Haber-Bosch) 500 tons × 50 kg CO2e/kg = 25,000 tCO2e. Other syntheses (organics) = 10,000 tCO2e. Oxidation fugitive emissions 2,500 tCO2e.","IPCC process emission factors for chemical manufacturing",Medium,Estimated,"Scope 1: Process emissions from chemical synthesis reactions (not combustion). Highly process-dependent."
EMIT_028,ASSET_011,Chemical Production,2023,2,Purchased_Electricity_AND_STEAM,53000,"Electricity: 180,000 MWh × 0.27 kg CO2/kWh. Steam: 50,000 tons steam × 0.16 kg CO2e/kg (on-site boiler, natural gas).","Belgium grid 2023 (nuclear-heavy ~55%), gas steam","Medium","Verified","Scope 2: Electricity (Belgium has low-carbon grid from nuclear), steam from on-site gas boiler. Belgium grid = 0.27 kg CO2/kWh (much lower than EU average 0.4)."
EMIT_029,ASSET_012,Food & Beverage Processing,2023,1,Facility_Operations,15000,"Natural gas for heating/cooking: 8M m3 × 1.89 kg CO2e/m3 (food processing uses more gas than office) + refrigeration fugitive emissions: 3,000 tCO2e (HFC/HFO leaks, 50 tons × 60 kg CO2e/kg GWP)","IPCC gas combustion + refrigerant GWP factors",Medium,Verified,"Scope 1: Facility heating for processing (pasteurization, sterilization) + refrigeration system leaks (packaging chilling systems lose ~5% charge/year)."
EMIT_030,ASSET_012,Food & Beverage Processing,2023,2,Purchased_Electricity,18000,"Process electricity: 50,000 MWh × 0.36 kg CO2/kWh (Netherlands grid, increasing renewables)","Netherlands grid 2023 (wind-heavy)",High,Verified,"Scope 2: Processing machinery (sorting, conveyor, mixing, packaging), water treatment, wastewater treatment."
EMIT_031,ASSET_012,Food & Beverage Processing,2023,3,Agricultural_FEEDSTOCK_And_SUPPLY_CHAIN,65000,"Agricultural input emissions: Grains 2,000 tons × 0.3 kg CO2e/kg (embodied from farming) = 600 tCO2e. Fruits 1,500 tons × 0.25 = 375. Sugar 500 tons × 0.35 = 175. Total agricultural = 1,150 tCO2e. Transport upstream (farms to factory): 500 km × 0.12 kg CO2e/ton/km × 5,000 tons = 300 tCO2e. Transport downstream (factory to distribution): 1,000 km × 0.08 kg/ton/km × 5,000 tons = 400 tCO2e.","IPCC agricultural production factors, food transport factors",Low,Estimated,"Scope 3: High uncertainty in agricultural emissions (farm practices vary wildly). Supply chain transport (upstream + downstream). Assumes 30% transport loss/spoilage."
EMIT_032,ASSET_013,Fishing Fleet,2023,1,Fuel_CONSUMPTION_At_SEA,35000,"Diesel fuel consumption: 3,500 tons bunker fuel × 3.15 kg CO2e/kg (marine diesel combustion, slightly higher energy density than road diesel)","IPCC marine fuel emission factors",High,Verified,"Scope 1: Fishing vessel fuel (trawlers 70%, longiners 20%, nets 10%). Fuel consumption peaks in winter (rough seas = higher RPM)."
EMIT_033,ASSET_013,Fishing Fleet,2023,3,CATCH_PROCESSING_AND_SUPPLY_CHAIN,18000,"Fish processing/freezing: 800 tons catch × 15 kg CO2e/kg (frozen storage energy + transport) = 12,000 tCO2e. Packaging/distribution: 8M kg × 0.001 kg CO2e/kg = 8,000 tCO2e. Total = ~18,000 tCO2e.","Food processing emission factors, packaging emissions",Low,Estimated,"Scope 3: Post-harvest processing (icing, freezing, storage) is energy-intensive. Includes supply chain to market."
EMIT_034,ASSET_014,Water Utility Company,2023,1,Pumping_And_TREATMENT_Operations,12000,"Electricity for pumping + chemical treatment: 45,000 MWh electricity × 0.2 kg CO2/kWh (facility renewable mix) + chemicals (aluminum sulfate, chlorine): 500 tons × 0.1 kg CO2e/kg = 50 tCO2e. Total ~9,000 + 50 = 9,050 tCO2e. Add backup generator fuel (rarely used): 2,950 tCO2e.","IPCC treatment chemical factors, utility grid mix (often renewable-heavy)",High,Verified,"Scope 1/2 hybrid: Pumping and chemical treatment. Utility often has renewable mix (hydro, solar) from own generation or contracts. Diesel backup rarely used (emergency only)."
EMIT_035,ASSET_014,Water Utility Company,2023,2,FACILITY_Electricity_PURCHASED,8000,"Pumping stations + office: 30,000 MWh × 0.27 kg CO2/kWh (Spain grid, 2023 includes 40% renewables)","Spanish grid 2023 mix (solar + wind 40%, hydro 20%, thermal 40%)",High,Verified,"Scope 2: Facility electricity (Spain has increasingly renewable grid). Pumping may be partially self-generated (hydro)."
EMIT_036,ASSET_014,Water Utility Company,2023,3,WATER_Treatment_CHEMICAL_UPSTREAM,6000,"Chemical production upstream: Aluminum sulfate (alum) 2,000 tons × 2 kg CO2e/kg manufacturing = 4,000 tCO2e. Chlorine 200 tons × 2 kg CO2e/kg = 400 tCO2e. Lime 1,000 tons × 0.15 kg CO2e/kg = 150 tCO2e. Total = ~4,550 tCO2e (rounded to 6,000 with transport).","Upstream chemical manufacturing emission factors",Low,Estimated,"Scope 3: Upstream emissions of treatment chemicals (mining, synthesis, transport)."
EMIT_037,ASSET_015,Tourism Infrastructure,2023,1,Facility_Heating_BACKUP_AND_EMERGENCY,8000,"Heating fuel (propane backup, rarely used): 2,000 liters propane × 3.01 kg CO2e/liter = 6,020 tCO2e. Diesel for snow grooming: 1,500 liters × 2.68 = 4,020 tCO2e. Total = ~10,000 tCO2e (rounded from meter data = 8,000 actual).","IPCC propane/diesel combustion factors, fuel receipts",Medium,Verified,"Scope 1: Heating fuel (propane, rarely used in season due to electric heating). Snow grooming fuel (winter operations). Minimal in spring/summer/fall."
EMIT_038,ASSET_015,Tourism Infrastructure,2023,2,FACILITY_ELECTRICITY_RESORT,18000,"Hotels + ski lifts + facilities: 60,000 MWh × 0.3 kg CO2/kWh (Swiss grid, nuclear + hydro heavy = 0.3 kg/kWh)","Swiss grid 2023 mix (nuclear 35%, hydro 60%, thermal 5%) = low-carbon",High,Verified,"Scope 2: Ski lifts (high power consumption during season), hotel common areas, restaurants, administration. Switzerland has one of cleanest grids in Europe."
EMIT_039,ASSET_015,Tourism Infrastructure,2023,3,GUEST_TRANSPORT_AND_SUPPLY_CHAIN,12000,"Guest transport (downstream user emissions): 500,000 guest days × 50 km average drive to resort × 0.12 kg CO2e/km per car (occupancy 2.5 guests) = 1.2M guest-km × 0.12 = 144,000 tCO2e (downstream user impact). Supply chain (food delivery, supplies): 10,000 tons annual supply × 100 km avg distance × 0.05 kg CO2e/ton/km = 50,000 tCO2e upstream. Total = ~194,000 tCO2e (but typically only supply chain 12,000 counted as operator Scope 3).","Transport emission factors, guest survey average distance data",Low,Estimated,"Scope 3: Guest transport (informational only - not operator responsibility). Supply chain includes food + lodging supplies delivered to resort."
